trip_mode,tour_mode,purpose,value
03: Shared Ride 3+,03: Shared Ride 3+,7: Joint Maintenance,72592
03: Shared Ride 3+,03: Shared Ride 3+,8: Joint Discretionary,69588
03: Shared Ride 3+,03: Shared Ride 3+,9: Work-based,11303
03: Shared Ride 3+,06: Walk to Transit,1: Work,1793
03: Shared Ride 3+,06: Walk to Transit,2: University,413
03: Shared Ride 3+,06: Walk to Transit,3: School,1810
03: Shared Ride 3+,06: Walk to Transit,4: Escort,3
03: Shared Ride 3+,06: Walk to Transit,5: Individual Maintenance,851
03: Shared Ride 3+,06: Walk to Transit,7: Joint Maintenance,151
03: Shared Ride 3+,07: PNR to Transit,1: Work,503
03: Shared Ride 3+,07: PNR to Transit,2: University,175
03: Shared Ride 3+,07: PNR to Transit,5: Individual Maintenance,1
03: Shared Ride 3+,07: PNR to Transit,6: Individual Discretionary,184
03: Shared Ride 3+,08: KNR to Transit,1: Work,1395
03: Shared Ride 3+,08: KNR to Transit,2: University,99
03: Shared Ride 3+,08: KNR to Transit,3: School,622
03: Shared Ride 3+,08: KNR to Transit,4: Escort,3
03: Shared Ride 3+,08: KNR to Transit,5: Individual Maintenance,1991
03: Shared Ride 3+,08: KNR to Transit,6: Individual Discretionary,3165
03: Shared Ride 3+,08: KNR to Transit,7: Joint Maintenance,256
03: Shared Ride 3+,08: KNR to Transit,8: Joint Discretionary,188
03: Shared Ride 3+,09: TNC to Transit,6: Individual Discretionary,1442
03: Shared Ride 3+,10: Taxi,1: Work,6
03: Shared Ride 3+,10: Taxi,4: Escort,9
03: Shared Ride 3+,10: Taxi,5: Individual Maintenance,9
03: Shared Ride 3+,10: Taxi,6: Individual Discretionary,620
03: Shared Ride 3+,10: Taxi,7: Joint Maintenance,11
03: Shared Ride 3+,10: Taxi,8: Joint Discretionary,179
03: Shared Ride 3+,10: Taxi,9: Work-based,190
03: Shared Ride 3+,11: TNC Single,1: Work,18
03: Shared Ride 3+,11: TNC Single,2: University,1
03: Shared Ride 3+,11: TNC Single,4: Escort,9
03: Shared Ride 3+,11: TNC Single,5: Individual Maintenance,9
03: Shared Ride 3+,11: TNC Single,6: Individual Discretionary,767
03: Shared Ride 3+,11: TNC Single,7: Joint Maintenance,18
03: Shared Ride 3+,11: TNC Single,8: Joint Discretionary,217
03: Shared Ride 3+,11: TNC Single,9: Work-based,180
03: Shared Ride 3+,12: TNC Shared,1: Work,269
03: Shared Ride 3+,12: TNC Shared,2: University,8
03: Shared Ride 3+,12: TNC Shared,4: Escort,226
03: Shared Ride 3+,12: TNC Shared,5: Individual Maintenance,215
03: Shared Ride 3+,12: TNC Shared,6: Individual Discretionary,3852
03: Shared Ride 3+,12: TNC Shared,7: Joint Maintenance,85
03: Shared Ride 3+,12: TNC Shared,8: Joint Discretionary,1039
03: Shared Ride 3+,12: TNC Shared,9: Work-based,426
04: Walk,02: Shared Ride 2,1: Work,20142
04: Walk,02: Shared Ride 2,2: University,5647
04: Walk,02: Shared Ride 2,3: School,23407
04: Walk,02: Shared Ride 2,4: Escort,3484
04: Walk,02: Shared Ride 2,5: Individual Maintenance,4891
04: Walk,02: Shared Ride 2,6: Individual Discretionary,19872
04: Walk,02: Shared Ride 2,7: Joint Maintenance,35
04: Walk,02: Shared Ride 2,8: Joint Discretionary,2222
04: Walk,02: Shared Ride 2,9: Work-based,563
04: Walk,03: Shared Ride 3+,1: Work,7324
04: Walk,03: Shared Ride 3+,2: University,1385
04: Walk,03: Shared Ride 3+,3: School,39581
04: Walk,03: Shared Ride 3+,4: Escort,919
04: Walk,03: Shared Ride 3+,5: Individual Maintenance,2380
04: Walk,03: Shared Ride 3+,6: Individual Discretionary,13170
04: Walk,03: Shared Ride 3+,7: Joint Maintenance,65
04: Walk,03: Shared Ride 3+,8: Joint Discretionary,943
04: Walk,03: Shared Ride 3+,9: Work-based,489
04: Walk,04: Walk,1: Work,45266
04: Walk,04: Walk,2: University,11453
04: Walk,04: Walk,3: School,53052
04: Walk,04: Walk,4: Escort,85095
04: Walk,04: Walk,5: Individual Maintenance,204468
04: Walk,04: Walk,6: Individual Discretionary,197325
04: Walk,04: Walk,7: Joint Maintenance,7821
04: Walk,04: Walk,8: Joint Discretionary,26427
04: Walk,04: Walk,9: Work-based,64247
04: Walk,06: Walk to Transit,1: Work,6388
04: Walk,06: Walk to Transit,2: University,8819
04: Walk,06: Walk to Transit,3: School,630
04: Walk,06: Walk to Transit,5: Individual Maintenance,341
04: Walk,06: Walk to Transit,6: Individual Discretionary,3865
04: Walk,06: Walk to Transit,7: Joint Maintenance,4213
04: Walk,06: Walk to Transit,8: Joint Discretionary,668
04: Walk,06: Walk to Transit,9: Work-based,83
04: Walk,07: PNR to Transit,1: Work,345
04: Walk,07: PNR to Transit,5: Individual Maintenance,17
04: Walk,07: PNR to Transit,6: Individual Discretionary,210
04: Walk,08: KNR to Transit,1: Work,1238
04: Walk,08: KNR to Transit,2: University,240
04: Walk,08: KNR to Transit,3: School,638
04: Walk,08: KNR to Transit,5: Individual Maintenance,1
04: Walk,08: KNR to Transit,6: Individual Discretionary,458
04: Walk,08: KNR to Transit,7: Joint Maintenance,59
04: Walk,08: KNR to Transit,8: Joint Discretionary,68
04: Walk,09: TNC to Transit,1: Work,2
04: Walk,09: TNC to Transit,6: Individual Discretionary,256
04: Walk,10: Taxi,1: Work,187
04: Walk,10: Taxi,2: University,39
04: Walk,10: Taxi,4: Escort,323
04: Walk,10: Taxi,5: Individual Maintenance,1625
04: Walk,10: Taxi,6: Individual Discretionary,2681
04: Walk,10: Taxi,7: Joint Maintenance,3
04: Walk,10: Taxi,8: Joint Discretionary,573
04: Walk,10: Taxi,9: Work-based,10
04: Walk,11: TNC Single,1: Work,248
04: Walk,11: TNC Single,2: University,16
04: Walk,11: TNC Single,4: Escort,188
04: Walk,11: TNC Single,5: Individual Maintenance,861
04: Walk,11: TNC Single,6: Individual Discretionary,1895
04: Walk,11: TNC Single,7: Joint Maintenance,1
04: Walk,11: TNC Single,8: Joint Discretionary,393
04: Walk,11: TNC Single,9: Work-based,6
04: Walk,12: TNC Shared,1: Work,1415
04: Walk,12: TNC Shared,2: University,83
04: Walk,12: TNC Shared,4: Escort,933
04: Walk,12: TNC Shared,5: Individual Maintenance,4985
04: Walk,12: TNC Shared,6: Individual Discretionary,6244
04: Walk,12: TNC Shared,7: Joint Maintenance,6
04: Walk,12: TNC Shared,8: Joint Discretionary,1453
04: Walk,12: TNC Shared,9: Work-based,10
05: Bike,05: Bike,1: Work,48427
05: Bike,05: Bike,2: University,3807
05: Bike,05: Bike,3: School,14904
05: Bike,05: Bike,4: Escort,1444
05: Bike,05: Bike,5: Individual Maintenance,6997
05: Bike,05: Bike,6: Individual Discretionary,30768
05: Bike,05: Bike,7: Joint Maintenance,209
05: Bike,05: Bike,8: Joint Discretionary,39
05: Bike,05: Bike,9: Work-based,2272
06: Walk to Transit,06: Walk to Transit,1: Work,68758
06: Walk to Transit,06: Walk to Transit,2: University,28729
06: Walk to Transit,06: Walk to Transit,3: School,11876
06: Walk to Transit,06: Walk to Transit,4: Escort,150
06: Walk to Transit,06: Walk to Transit,5: Individual Maintenance,24074
06: Walk to Transit,06: Walk to Transit,6: Individual Discretionary,15626
06: Walk to Transit,06: Walk to Transit,7: Joint Maintenance,3744
06: Walk to Transit,06: Walk to Transit,8: Joint Discretionary,3221
06: Walk to Transit,06: Walk to Transit,9: Work-based,1028
06: Walk to Transit,07: PNR to Transit,1: Work,1429
06: Walk to Transit,08: KNR to Transit,1: Work,2455
06: Walk to Transit,08: KNR to Transit,2: University,636
06: Walk to Transit,08: KNR to Transit,3: School,503
06: Walk to Transit,08: KNR to Transit,4: Escort,1
06: Walk to Transit,08: KNR to Transit,5: Individual Maintenance,73
06: Walk to Transit,08: KNR to Transit,6: Individual Discretionary,933
06: Walk to Transit,08: KNR to Transit,7: Joint Maintenance,12
06: Walk to Transit,09: TNC to Transit,1: Work,4
06: Walk to Transit,09: TNC to Transit,6: Individual Discretionary,472
07: PNR to Transit,07: PNR to Transit,1: Work,5688
07: PNR to Transit,07: PNR to Transit,2: University,3580
07: PNR to Transit,07: PNR to Transit,3: School,2
07: PNR to Transit,07: PNR to Transit,4: Escort,4
07: PNR to Transit,07: PNR to Transit,5: Individual Maintenance,472
07: PNR to Transit,07: PNR to Transit,6: Individual Discretionary,441
08: KNR to Transit,08: KNR to Transit,1: Work,7972
08: KNR to Transit,08: KNR to Transit,2: University,3278
08: KNR to Transit,08: KNR to Transit,3: School,1599
08: KNR to Transit,08: KNR to Transit,4: Escort,12
08: KNR to Transit,08: KNR to Transit,5: Individual Maintenance,1846
08: KNR to Transit,08: KNR to Transit,6: Individual Discretionary,4537
08: KNR to Transit,08: KNR to Transit,7: Joint Maintenance,324
08: KNR to Transit,08: KNR to Transit,8: Joint Discretionary,423
08: KNR to Transit,09: TNC to Transit,1: Work,1
08: KNR to Transit,09: TNC to Transit,6: Individual Discretionary,1909
09: TNC to Transit,08: KNR to Transit,3: School,564
10: Taxi,06: Walk to Transit,2: University,1
10: Taxi,06: Walk to Transit,4: Escort,10
10: Taxi,06: Walk to Transit,5: Individual Maintenance,2970
10: Taxi,06: Walk to Transit,6: Individual Discretionary,1034
10: Taxi,06: Walk to Transit,9: Work-based,56
10: Taxi,08: KNR to Transit,1: Work,13
10: Taxi,08: KNR to Transit,2: University,27
10: Taxi,08: KNR to Transit,8: Joint Discretionary,20
10: Taxi,10: Taxi,1: Work,1
10: Taxi,10: Taxi,4: Escort,30
10: Taxi,10: Taxi,5: Individual Maintenance,44
10: Taxi,10: Taxi,6: Individual Discretionary,19
10: Taxi,10: Taxi,8: Joint Discretionary,2
10: Taxi,11: TNC Single,1: Work,1
10: Taxi,11: TNC Single,4: Escort,14
10: Taxi,11: TNC Single,5: Individual Maintenance,30
10: Taxi,11: TNC Single,6: Individual Discretionary,19
10: Taxi,11: TNC Single,8: Joint Discretionary,3
10: Taxi,12: TNC Shared,1: Work,8
10: Taxi,12: TNC Shared,2: University,2
10: Taxi,12: TNC Shared,4: Escort,66
10: Taxi,12: TNC Shared,5: Individual Maintenance,97
10: Taxi,12: TNC Shared,6: Individual Discretionary,44
10: Taxi,12: TNC Shared,8: Joint Discretionary,7
11: TNC Single,06: Walk to Transit,1: Work,1747
11: TNC Single,06: Walk to Transit,2: University,26
11: TNC Single,06: Walk to Transit,4: Escort,7
11: TNC Single,06: Walk to Transit,5: Individual Maintenance,989
11: TNC Single,06: Walk to Transit,6: Individual Discretionary,426
11: TNC Single,06: Walk to Transit,7: Joint Maintenance,70
11: TNC Single,06: Walk to Transit,8: Joint Discretionary,26
11: TNC Single,06: Walk to Transit,9: Work-based,33
11: TNC Single,08: KNR to Transit,1: Work,22
11: TNC Single,08: KNR to Transit,2: University,56
11: TNC Single,08: KNR to Transit,8: Joint Discretionary,32
11: TNC Single,10: Taxi,1: Work,382
11: TNC Single,10: Taxi,2: University,8
11: TNC Single,10: Taxi,4: Escort,619
11: TNC Single,10: Taxi,5: Individual Maintenance,1039
11: TNC Single,10: Taxi,6: Individual Discretionary,4496
11: TNC Single,10: Taxi,7: Joint Maintenance,191
11: TNC Single,10: Taxi,8: Joint Discretionary,556
11: TNC Single,10: Taxi,9: Work-based,163
11: TNC Single,11: TNC Single,1: Work,818
11: TNC Single,11: TNC Single,2: University,18
11: TNC Single,11: TNC Single,4: Escort,625
11: TNC Single,11: TNC Single,5: Individual Maintenance,1252
11: TNC Single,11: TNC Single,6: Individual Discretionary,5048
11: TNC Single,11: TNC Single,7: Joint Maintenance,282
11: TNC Single,11: TNC Single,8: Joint Discretionary,701
11: TNC Single,11: TNC Single,9: Work-based,158
11: TNC Single,12: TNC Shared,1: Work,3796
11: TNC Single,12: TNC Shared,2: University,73
11: TNC Single,12: TNC Shared,4: Escort,3022
11: TNC Single,12: TNC Shared,5: Individual Maintenance,5310
11: TNC Single,12: TNC Shared,6: Individual Discretionary,16407
11: TNC Single,12: TNC Shared,7: Joint Maintenance,666
11: TNC Single,12: TNC Shared,8: Joint Discretionary,2356
11: TNC Single,12: TNC Shared,9: Work-based,291
12: TNC Shared,06: Walk to Transit,1: Work,1
12: TNC Shared,06: Walk to Transit,2: University,37
12: TNC Shared,06: Walk to Transit,4: Escort,1
12: TNC Shared,06: Walk to Transit,5: Individual Maintenance,68
12: TNC Shared,06: Walk to Transit,6: Individual Discretionary,3108
12: TNC Shared,06: Walk to Transit,7: Joint Maintenance,1
12: TNC Shared,06: Walk to Transit,9: Work-based,97
12: TNC Shared,08: KNR to Transit,1: Work,188
12: TNC Shared,08: KNR to Transit,2: University,305
12: TNC Shared,08: KNR to Transit,8: Joint Discretionary,148
12: TNC Shared,10: Taxi,1: Work,19
12: TNC Shared,10: Taxi,2: University,11
12: TNC Shared,10: Taxi,4: Escort,3
12: TNC Shared,10: Taxi,5: Individual Maintenance,4
12: TNC Shared,10: Taxi,6: Individual Discretionary,223
12: TNC Shared,10: Taxi,7: Joint Maintenance,126
12: TNC Shared,10: Taxi,8: Joint Discretionary,61
12: TNC Shared,10: Taxi,9: Work-based,2
12: TNC Shared,11: TNC Single,1: Work,73
12: TNC Shared,11: TNC Single,2: University,11
12: TNC Shared,11: TNC Single,4: Escort,5
12: TNC Shared,11: TNC Single,5: Individual Maintenance,7
12: TNC Shared,11: TNC Single,6: Individual Discretionary,242
12: TNC Shared,11: TNC Single,7: Joint Maintenance,156
12: TNC Shared,11: TNC Single,8: Joint Discretionary,71
12: TNC Shared,11: TNC Single,9: Work-based,3
12: TNC Shared,12: TNC Shared,1: Work,1212
12: TNC Shared,12: TNC Shared,2: University,97
12: TNC Shared,12: TNC Shared,4: Escort,170
12: TNC Shared,12: TNC Shared,5: Individual Maintenance,132
12: TNC Shared,12: TNC Shared,6: Individual Discretionary,1643
12: TNC Shared,12: TNC Shared,7: Joint Maintenance,600
12: TNC Shared,12: TNC Shared,8: Joint Discretionary,395
12: TNC Shared,12: TNC Shared,9: Work-based,7
13: School Bus,13: School Bus,3: School,138936
